Links Clicked Detail Report,,,,,,,
Report Run On:,3/26/2020 12:19:58 PM,,,,,,
Client ID:,100019565,,,,,,
Client Name:,University of Southern Maine,,,,,,
Email Send ID:,631031,,,,,,
List ID(s) Reported On:,"15060,15872",,,,,,
Send Start Time,9/17/2019 6:00:38 PM,,,,,,
Send Complete Time,9/17/2019 6:01:44 PM,,,,,,
Email Name:,FY20 UG High School App Gen – Email 04,,,,,,
,,,,,,,
Link Details,,,,,,,
Link Name,,Unique Clicks,% of Unique Clicks,Total Clicks,% of Total Clicks,Net CTRs,
https://usm.maine.edu/apply,,110,16.82%,132,17.30%,1.633502%,
https://usm.maine.edu/residential-life/living-learning-communities,,93,14.22%,112,14.679%,1.381051%,
https://usm.maine.edu/residential-life/gender-neutral-housing,,91,13.914%,97,12.713%,1.351351%,
https://usm.maine.edu/student-diversity,,90,13.761%,101,13.237%,1.336501%,
https://usm.maine.edu/office-of-admissions/video-university-everyone,,90,13.761%,90,11.796%,1.336501%,
http://usm.maine.edu,,88,13.456%,99,12.975%,1.306801%,
https://usm.maine.edu/visit#virtualtour,,24,3.67%,28,3.67%,0.35640%,
https://usm.maine.edu/office-of-admissions/experience-usm,,20,3.058%,26,3.408%,0.29700%,
http://twitter.com/USouthernMaine,,17,2.599%,33,4.325%,0.25245%,
http://facebook.com/USouthernMaine,,17,2.599%,17,2.228%,0.25245%,
Unsubscribe,,7,1.07%,21,2.752%,0.10395%,
http://usm.maine.edu/high-school-students,,2,0.306%,2,0.262%,0.02970%,
http://view.e-usm.maine.edu/?j=fed112737464077c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,2,0.306%,2,0.262%,0.02970%,
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fed112737464077c&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,1,0.153%,1,0.131%,0.01485%,
http://linkedin.com/edu/school?id=18589,,1,0.153%,1,0.131%,0.01485%,
http://youtube.com/user/USouthernMaine,,1,0.153%,1,0.131%,0.01485%,
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fed112737464077c&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,,0,0.00%,0,0.00%,0.00000%,
http://instagram.com/USouthernMaine,,0,0.00%,0,0.00%,0.00000%,
http://view.e-usm.maine.edu/ftaf.aspx?j=fed112737464077c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,,0,0.00%,0,0.00%,0.00000%,
https://facebook.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://instagram.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://twitter.com/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
https://usm.maine.edu/advising/fifteen-finish,,0,0.00%,0,0.00%,0.00000%,
https://www.linkedin.com/school/university-of-southern-maine,,0,0.00%,0,0.00%,0.00000%,
https://youtube.com/user/usouthernmaine,,0,0.00%,0,0.00%,0.00000%,
Totals,,654,,763,,,
,,,,,,,
,,,,,,,
