Month,Campaign,Sent,uniqueUnsubs,Delivered,OpenRate,UniqueCTR,DeliveryRate,UnsubscribeRate
01/01/2019,HS_App_Gen,11356,32,11072,15.10%,2%,97.50%,0.29%
02/01/2019,HS_App_Gen,10986,22,10772,14.55%,1.85%,98.05%,0.20%
02/01/2019,UG_Lead_Nurture,6087,4,5880,14.10%,1.60%,96.60%,0.07%
03/01/2019,Adult_App_Gen,1582,1,1558,15.80%,1%,98.50%,0.06%
03/01/2019,HS_App_Gen,10447,21,10421,12.80%,1.70%,99.75%,0.20%
03/01/2019,UG_Lead_Nurture,6074,12,5922,13.40%,1.90%,97.50%,0.20%
04/01/2019,Adult_App_Gen,1654,4,1644,14.80%,1.50%,99.40%,0.24%
04/01/2019,HS_App_Gen,10218,26,10197,14%,2%,99.80%,0.25%
04/01/2019,UG_Lead_Nurture,6275,5,6231,14.30%,2.20%,99.30%,0.08%
05/01/2019,Adult_App_Gen,1643,2,1638,15.30%,1.30%,99.70%,0.12%
05/01/2019,HS_App_Gen,9923,72,9883,13.35%,1.90%,99.60%,0.73%
05/01/2019,UG_Lead_Nurture,7154,5,7025,17%,2.40%,98.20%,0.07%
06/01/2019,Adult_App_Gen,1725,2,1715,16%,1.80%,99.40%,0.12%
06/01/2019,HS_App_Gen,9686,44,9647,11.90%,1.10%,99.60%,0.46%
06/01/2019,UG_Lead_Nurture,7806,7,7705,16.80%,2.10%,98.70%,0.09%
07/01/2019,Adult_App_Gen,1770,4,1755,15.70%,1.35%,99.10%,0.20%
07/01/2019,HS_App_Gen,7059,19,6974,14.13%,1.83%,99%,0.28%
07/01/2019,UG_Lead_Nurture,7824,15,7754,15.30%,1.60%,99.10%,0.19%
08/01/2019,UG_Lead_Nurture,1238,5,1233,17.10%,2%,99.60%,0.41%
09/01/2019,Adult_App_Gen,1125,3,1116,17.70%,1.50%,99.20%,0.27%
09/01/2019,HS_App_Gen,6685,12,6638,15.55%,1.90%,99.30%,0.17%
09/01/2019,UG_Lead_Nurture,1330,1,1310,19.20%,2.10%,98.50%,0.08%
10/01/2019,Adult_App_Gen,1140,3,1137,14.50%,1.90%,99.70%,0.26%
10/01/2019,HS_App_Gen,7454,13,7372,14.40%,1.90%,98.90%,0.17%
10/01/2019,UG_Lead_Nurture,1537,4,1480,18.10%,2.80%,96.30%,0.27%
11/01/2019,Adult_App_Gen,1212,2,1206,15.60%,2.20%,99.50%,0.17%
11/01/2019,HS_App_Gen,8520,16,8393,18.12%,2.35%,98.50%,0.19%
11/01/2019,UG_Lead_Nurture,2062,4,1971,19.70%,2.90%,95.60%,0.20%
12/01/2019,Adult_App_Gen,1276,2,1272,17.40%,1.90%,99.70%,0.16%
12/01/2019,HS_App_Gen,8022,15,7973,16.70%,2%,99.40%,0.18%
12/01/2019,UG_Lead_Nurture,2174,4,2126,18.90%,2.10%,97.80%,0.19%
01/01/2020,Adult_App_Gen,1320,6,1309,18.50%,2.10%,99.20%,0.46%
01/01/2020,HS_App_Gen,7534,17,7511,13.90%,1.20%,99.70%,0.23%
01/01/2020,UG_Lead_Nurture,2212,2,2194,17.90%,1.80%,99.20%,0.09%
02/01/2020,Adult_App_Gen,1340,1,1331,12.30%,0.90%,99.30%,0.08%
02/01/2020,HS_App_Gen,7415,14,7393,13.30%,0.80%,99.70%,0.19%
02/01/2020,UG_Lead_Nurture,2349,2,2337,14.60%,0.70%,99.50%,0.09%
03/01/2020,Adult_App_Gen,1325,5,1276,15.30%,1.60%,96.30%,0.39%
03/01/2020,HS_App_Gen,7643,13,7233,12.10%,0.75%,94.65%,0.17%
03/01/2020,UG_Lead_Nurture,2769,3,2545,17.60%,1.40%,91.90%,0.12%
