Email,Total_Clicks,Unique_Clicks
FY19 Adult App Gen - Email 07 (Community Connections),19,15
FY19 Adult App Gen - Email 08 (Auma Aliardo),32,24
FY19 Adult App Gen - Email 09 (Samantha Watson),37,27
FY19 Adult App Gen - Email 10 (Personalized Approach),53,40
FY19 Adult App Gen - Email 11 (Career Opportunities),26,18
FY19 Adult App Gen - Email 12 (Majors),47,31
FY19 Lead Nurture - Email 06 (Three Unique Campuses),634,479
FY19 Lead Nurture - Email 07 (Springtime on Campus),809,599
FY19 Lead Nurture - Email 08 (Living Learning Communities),1126,847
FY19 Lead Nurture - Email 09 (Majors),1230,1015
FY19 Lead Nurture - Email 10 (Iceland),1385,1196
FY19 Lead Nurture - Email 11 (Financial Aid),1154,886
FY19 Lead Nurture - Email 12 (Therapeutic Recreation),211,159
FY19 UG App Gen - Email 12 (Student Activities),1223,929
FY19 UG App Gen - Email 13 (Residential Life),1343,1021
FY19 UG App Gen - Email 14 (Financial Aid),1005,803
FY19 UG App Gen - Email 15 (QC2 Lab),1218,965
FY19 UG App Gen - Email 16 (Ci2 Lab),1131,864
FY19 UG App Gen - Email 17 (Advising),1209,907
FY19 UG App Gen - Email 18 (National College Decision Day),1377,1010
FY19 UG App Gen - Email 19 (Tourism and Hospitality),1170,892
FY19 UG App Gen - Email 20 (Internships),1681,1349
FY19 UG App Gen - Email 21 (Dedicated Professors),618,421
FY19 UG App Gen - Email 22 (Still Time),460,293
FY20 Adult App Gen - Email 01 (University of Everyone),35,21
FY20 Adult App Gen - Email 02,32,24
FY20 Adult App Gen - Email 03,45,34
FY20 Adult App Gen - Email 04,35,26
FY20 Adult App Gen - Email 05,49,39
FY20 Adult App Gen - Email 06,19,15
FY20 Adult App Gen - Email 07,30,22
FY20 Lead Nurture - Email 01 (Early College),107,79
FY20 Lead Nurture - Email 02,132,113
FY20 Lead Nurture - Email 03,213,174
FY20 Lead Nurture - Email 04,312,247
FY20 Lead Nurture - Email 05,195,155
FY20 Lead Nurture - Email 06,19,17
FY20 Lead Nurture - Email 07,53,36
FY20 UG High School App Gen – Email 01,877,716
FY20 UG High School App Gen – Email 02,746,620
FY20 UG High School App Gen – Email 03,619,523
FY20 UG High School App Gen – Email 04,763,654
FY20 UG High School App Gen – Email 05,757,678
FY20 UG High School App Gen – Email 06,846,774
FY20 UG High School App Gen – Email 07,1115,1041
FY20 UG High School App Gen – Email 08,1222,1041
FY20 UG High School App Gen – Email 09,1128,956
FY20 UG High School App Gen – Email 10,953,838
FY20 UG High School App Gen – Email 11,857,733
FY20 UG High School App Gen – Email 12,135,79
FY20 UG High School App Gen – Email 13,107,70
FY20 UG High School App Gen – Email 14,121,80
FY20 UG High School App Gen – Email 15,67,47
