Email,totalUnsubs,uniqueUnsubs,NetCTR_Unsub,LinkPlacement
FY19 Adult App Gen - Email 07 (Community Connections),3,1,0.001,7
FY19 Adult App Gen - Email 08 (Auma Aliardo),12,4,0.002,3
FY19 Adult App Gen - Email 09 (Samantha Watson),6,2,0.001,5
FY19 Adult App Gen - Email 10 (Personalized Approach),7,2,0.001,8
FY19 Adult App Gen - Email 11 (Career Opportunities),10,3,0.002,3
FY19 Adult App Gen - Email 12 (Majors),10,4,0.002,5
FY19 Lead Nurture - Email 06 (Three Unique Campuses),8,4,0.001,8
FY19 Lead Nurture - Email 07 (Springtime on Campus),34,12,0.002,12
FY19 Lead Nurture - Email 08 (Living Learning Communities),15,5,0.001,13
FY19 Lead Nurture - Email 09 (Majors),13,5,0.001,14
FY19 Lead Nurture - Email 10 (Iceland),21,7,0.001,14
FY19 Lead Nurture - Email 11 (Financial Aid),31,15,0.002,8
FY19 Lead Nurture - Email 12 (Therapeutic Recreation),5,5,0.004,13
FY19 UG App Gen - Email 12 (Student Activities),91,32,0.003,8
FY19 UG App Gen - Email 13 (Residential Life),59,21,0.002,8
FY19 UG App Gen - Email 14 (Financial Aid),69,23,0.002,8
FY19 UG App Gen - Email 15 (QC2 Lab),71,21,0.002,8
FY19 UG App Gen - Email 16 (Ci2 Lab),66,21,0.002,8
FY19 UG App Gen - Email 17 (Advising),63,22,0.002,7
FY19 UG App Gen - Email 18 (National College Decision Day),98,30,0.003,11
FY19 UG App Gen - Email 19 (Tourism and Hospitality),84,35,0.004,7
FY19 UG App Gen - Email 20 (Internships),148,109,0.011,7
FY19 UG App Gen - Email 21 (Dedicated Professors),108,44,0.005,3
FY19 UG App Gen - Email 22 (Still Time),114,46,0.005,2
FY20 Adult App Gen - Email 01 (University of Everyone),8,3,0.003,3
FY20 Adult App Gen - Email 02,9,3,0.003,5
FY20 Adult App Gen - Email 03,7,2,0.002,7
FY20 Adult App Gen - Email 04,4,2,0.002,3
FY20 Adult App Gen - Email 05,14,6,0.005,2
FY20 Adult App Gen - Email 06,4,1,0.001,6
FY20 Adult App Gen - Email 07,11,5,0.004,3
FY20 Lead Nurture - Email 01 (Early College),0,0,0,18
FY20 Lead Nurture - Email 02,12,4,0.003,11
FY20 Lead Nurture - Email 03,10,4,0.002,6
FY20 Lead Nurture - Email 04,9,4,0.002,12
FY20 Lead Nurture - Email 05,4,2,0.001,12
FY20 Lead Nurture - Email 06,0,0,0,18
FY20 Lead Nurture - Email 07,10,3,0.001,4
FY20 UG High School App Gen – Email 01,19,7,0.0012,11
FY20 UG High School App Gen – Email 02,13,5,8.00E-04,11
FY20 UG High School App Gen – Email 03,52,16,0.0024,7
FY20 UG High School App Gen – Email 04,21,7,0.001,11
FY20 UG High School App Gen – Email 05,46,16,0.0022,11
FY20 UG High School App Gen – Email 06,27,9,0.0012,11
FY20 UG High School App Gen – Email 07,49,15,0.0018,11
FY20 UG High School App Gen – Email 08,43,17,0.0029,9
FY20 UG High School App Gen – Email 09,49,17,0.0021,11
FY20 UG High School App Gen – Email 10,34,12,0.0015,11
FY20 UG High School App Gen – Email 11,43,15,0.002,12
FY20 UG High School App Gen – Email 12,51,19,0.0026,2
FY20 UG High School App Gen – Email 13,36,14,0.0019,2
FY20 UG High School App Gen – Email 14,48,17,0.0023,2
FY20 UG High School App Gen – Email 15,25,8,0.0011,2
